,school_years,mortality_5,poverty_percentage,ferr_rate
0,12.2415,9.9001,0.1,20.942
1,11.65449,11.2034,0.1,20.909
2,10.62825,15.8165,0.0,18.545
3,10.20986,20.0961,0.1,18.869
4,9.9026,24.5301,0.2,13.217
5,9.72404,32.5812,0.1,21.756
6,12.79765,26.728,0.2,11.134
7,9.34072,43.2981,1.1,19.071
8,9.20554,53.8403,0.9,28.956
9,8.73425,137.5556,4.1,168.701
10,13.05926,13.7628,0.3,69.167
11,13.13686,14.2387,0.3,68.719
12,13.15355,14.7288,0.3,68.264
13,13.16878,15.2324,0.3,67.064
14,13.08341,15.7498,0.5,66.695
15,12.94275,16.2839,0.6,66.149
16,12.85074,16.836,0.7,66.424
17,12.80836,17.405,0.8,64.07
18,12.76368,17.9926,0.9,64.877
19,12.91562,18.6,1.3,62.62
20,12.86104,19.2287,1.9,60.281
21,13.05219,19.8783,4.9,63.078
22,13.05946,20.5565,4.5,64.0
23,12.94942,21.2533,2.7,66.54
24,12.64875,21.967,2.4,68.268
25,11.67584,22.7122,2.1,69.307
26,11.35149,23.4818,2.2,70.424
27,11.71451,24.277,2.7,71.39
28,11.27255,25.9334,1.4,73.516
29,11.29626,28.5673,0.6,71.979
30,11.07268,32.2809,0.9,70.728
31,10.93545,33.274,1.1,71.527
32,10.30493,41.4775,0.2,76.784
33,9.83759,19.3217,0.2,28.266
34,9.5941,20.3641,0.2,25.22
35,9.99188,21.469,0.3,24.544
36,9.61203,22.6388,0.3,24.607
37,9.3033,23.8406,0.6,29.062
38,9.04959,25.1348,1.2,31.569
39,9.16626,29.245,3.0,32.841
40,9.50052,32.2936,2.8,41.327
41,15.0429,4.8369,0.3,16.622
42,14.91103,5.0524,0.3,17.776
43,16.1847,5.7318,0.4,15.913
44,16.46185,5.8962,0.8,15.998
45,16.31681,6.1375,0.6,17.238
46,15.31357,7.0528,0.6,19.797
47,11.85206,3.7031,0.1,7.947
48,11.80397,3.803,0.2,8.462
49,11.70861,3.8154,0.4,9.054
50,11.72465,4.2802,0.3,9.606
51,11.78457,4.7465,0.4,10.434
52,11.8759,4.5993,0.5,10.712
53,11.8907,4.5061,0.2,11.382
54,11.95632,4.3318,0.3,11.46
55,12.00858,4.4749,0.0,12.213
56,11.99161,5.0048,0.1,13.004
57,11.93761,5.1672,0.1,13.758
58,11.93975,5.5639,0.3,13.662
59,12.0601,5.6839,0.0,14.06
60,12.0387,5.3837,0.1,13.395
61,11.9821,5.916,0.0,13.868
62,12.54158,5.7109,0.0,14.465
63,12.568,6.2364,0.0,15.97
64,12.6419,6.5856,0.0,17.743
65,12.66341,7.5972,0.1,19.933
66,9.10082,93.9572,3.5,44.668
67,8.61983,49.126,3.2,112.165
68,8.09313,64.5415,4.6,121.664
69,5.26445,159.2746,10.4,183.742
70,4.77032,179.3059,6.8,193.189
71,4.92506,189.7957,9.3,202.564
72,11.40051,4.3249,0.0,20.613
73,11.27442,4.5754,0.0,23.005
74,11.32726,4.8578,0.0,23.588
75,11.32597,5.1929,0.0,22.39
76,11.42331,5.5934,0.0,22.382
77,11.59551,6.0764,0.0,24.058
78,11.62133,6.6463,0.0,23.221
79,10.10952,14.4743,5.6,30.466
80,15.7975,4.0419,0.1,7.448
81,15.6052,4.2831,0.1,7.825
82,12.59237,4.5706,0.1,9.088
83,12.57784,4.1967,0.1,9.937
84,12.53589,4.4532,0.1,10.265
85,12.54159,4.4036,0.1,10.675
86,12.58235,4.591,0.1,10.672
87,12.62541,4.9996,0.1,10.708
88,12.60763,4.9914,0.1,10.689
89,12.53702,4.776,0.1,10.783
90,12.51309,4.7009,0.0,10.907
91,15.48593,5.1934,0.2,10.957
92,14.97388,6.0474,0.3,11.915
93,14.57707,7.4263,0.4,10.083
94,12.11009,9.4652,0.8,12.167
95,12.18243,10.7143,0.5,11.955
96,11.85355,11.4329,0.2,13.136
97,11.08803,24.4136,8.4,101.826
98,11.17411,30.4096,5.8,112.111
99,10.45177,106.6109,19.8,93.653
100,7.84222,127.4107,18.2,115.528
101,12.09569,37.5613,0.3,33.867
102,10.20837,50.3546,1.1,47.613
103,11.90507,6.9163,0.0,12.464
104,11.38206,78.0664,11.1,63.077
105,10.03597,57.254,13.1,91.278
106,8.46628,55.1384,17.4,125.627
107,12.62971,16.7161,1.3,62.936
108,11.89582,17.2351,1.7,63.675
109,11.98048,17.9766,2.2,65.23
110,12.07159,19.5549,2.4,67.881
111,12.12444,20.6304,2.5,69.789
112,11.85585,21.8355,3.2,73.105
113,12.4904,24.7863,3.7,77.864
114,12.63781,26.5274,4.2,78.351
115,12.84542,28.3953,4.9,78.704
116,13.70452,30.3714,4.4,81.978
117,11.74548,8.9879,0.5,41.998
118,11.64773,9.1073,0.8,42.783
119,11.32751,9.5065,0.8,43.328
120,11.39373,9.9466,1.0,42.701
121,11.29846,10.9509,0.7,43.958
122,11.21279,11.0726,0.3,48.187
123,11.26385,10.6876,0.4,45.629
124,11.31624,11.3466,0.7,43.433
125,11.22839,12.0438,2.7,41.696
126,7.54627,105.0121,9.5,127.006
127,6.08703,127.8145,18.2,128.047
128,3.83418,166.7951,22.1,130.013
129,2.83643,198.2376,46.7,140.104
130,10.42702,75.4534,25.2,65.349
131,7.12463,117.9169,27.3,77.066
132,4.34384,172.4607,31.3,77.095
133,10.87668,92.2237,8.3,119.042
134,8.30195,120.8103,9.3,130.278
135,8.13178,140.7005,6.9,141.754
136,12.63058,5.7486,0.1,11.665
137,12.52148,5.478,0.1,12.556
138,12.1024,5.5708,0.1,13.02
139,12.06521,5.7989,0.1,13.964
140,12.09901,5.6175,0.1,14.636
141,12.00661,5.8611,0.1,14.606
142,12.02785,5.9757,0.1,14.163
143,12.00339,5.9072,0.1,13.66
144,11.88676,6.2646,0.2,13.475
145,12.11105,5.9394,0.1,17.452
146,12.10347,6.2594,0.2,19.119
147,12.26672,6.2287,0.2,20.158
148,12.43365,6.6343,0.2,22.72
149,12.35157,7.1242,0.7,24.651
150,12.38958,7.5047,0.8,25.47
151,12.3632,7.4456,1.1,25.498
152,12.30434,7.221,0.7,26.245
153,12.26922,7.6108,1.2,26.658
154,12.1655,8.3011,1.0,27.61
155,12.15369,8.792,1.2,26.626
156,12.12049,8.8464,0.5,24.576
157,12.09116,8.9748,0.5,23.95
158,12.08827,9.6352,0.9,24.111
159,12.06484,9.6814,0.4,24.875
160,12.02982,10.0257,0.5,26.021
161,11.78954,11.1059,0.5,28.062
162,11.21678,11.684,0.6,27.769
163,11.22946,13.3102,0.9,29.009
164,11.32109,15.012,1.0,32.543
165,11.35289,17.3981,1.2,35.468
166,4.08733,176.5095,56.2,162.736
167,7.17504,144.2685,14.3,182.405
168,5.52139,174.0754,23.2,195.725
169,11.97568,7.7408,0.2,48.368
170,11.71218,8.5687,0.3,52.145
171,12.03447,9.1428,0.6,54.403
172,12.39214,8.9198,0.7,52.213
173,12.02223,9.686,2.1,51.278
174,11.83172,11.1966,2.2,61.305
175,11.25423,12.7788,1.7,67.308
176,11.99892,16.7261,2.0,70.155
177,11.07536,19.3895,3.6,68.178
178,11.76064,11.6083,0.4,16.39
179,12.11457,12.5414,0.5,16.013
180,11.91031,13.5483,2.0,16.256
181,11.74723,14.6391,2.5,15.488
182,11.56174,15.8641,3.6,15.908
183,11.12496,18.9177,5.1,15.141
184,9.22,31.5852,12.4,12.814
185,8.94214,45.7209,15.9,14.217
186,8.79305,50.9708,24.1,21.184
187,8.62332,53.7737,28.3,30.986
188,11.60201,16.0617,2.1,72.843
189,11.84855,16.581,2.3,75.843
190,11.79634,17.1791,2.5,77.554
191,12.23978,17.9139,2.5,77.638
192,12.33135,18.4913,3.0,77.996
193,12.44666,18.9484,3.6,79.433
194,12.12739,19.5895,4.4,81.029
195,11.39394,21.5717,3.7,85.791
196,10.96767,22.1979,4.0,87.94
197,10.411,23.7105,5.1,91.952
198,10.25454,25.2422,11.3,94.675
199,10.22581,26.2437,11.5,94.957
200,9.65887,28.8525,9.5,93.528
201,8.82539,33.2524,4.9,96.149
202,9.48168,96.7048,4.2,90.886
203,12.49052,9.3238,0.6,58.971
204,12.31861,9.611,0.6,62.31
205,12.14771,9.949,0.6,65.567
206,12.08945,10.248,0.7,64.909
207,11.98828,10.636,0.7,65.123
208,11.88617,10.7893,1.1,67.674
209,11.50477,10.982,1.0,69.868
210,11.37757,11.1806,0.7,67.813
211,11.39225,11.2119,1.3,66.242
212,10.97371,11.3682,1.2,66.38
213,11.05138,11.5311,1.8,68.081
214,10.26597,12.172,2.2,71.194
