,Country or Area,Year(s),Variant,Value,asean
5247,brunei darussalam,2022,Medium,11.1724,asean
5248,brunei darussalam,2021,Medium,11.0831,asean
5249,brunei darussalam,2020,Medium,11.1092,asean
5250,brunei darussalam,2019,Medium,11.0257,asean
5251,brunei darussalam,2018,Medium,10.8634,asean
5252,brunei darussalam,2017,Medium,10.6618,asean
5253,brunei darussalam,2016,Medium,10.4494,asean
5254,brunei darussalam,2015,Medium,10.2393,asean
5255,brunei darussalam,2014,Medium,10.0367,asean
5256,brunei darussalam,2013,Medium,9.8454,asean
5257,brunei darussalam,2012,Medium,9.6632,asean
5258,brunei darussalam,2011,Medium,9.5043,asean
5259,brunei darussalam,2010,Medium,9.3751,asean
5260,brunei darussalam,2009,Medium,9.2681,asean
5261,brunei darussalam,2008,Medium,9.1985,asean
5262,brunei darussalam,2007,Medium,9.1605,asean
5263,brunei darussalam,2006,Medium,9.1556,asean
5264,brunei darussalam,2005,Medium,9.1824,asean
5265,brunei darussalam,2004,Medium,9.2431,asean
5266,brunei darussalam,2003,Medium,9.3525,asean
5267,brunei darussalam,2002,Medium,9.5128,asean
5268,brunei darussalam,2001,Medium,9.7237,asean
5269,brunei darussalam,2000,Medium,9.994,asean
5270,brunei darussalam,1999,Medium,10.3191,asean
5271,brunei darussalam,1998,Medium,10.7026,asean
5272,brunei darussalam,1997,Medium,11.1191,asean
5273,brunei darussalam,1996,Medium,11.5585,asean
5274,brunei darussalam,1995,Medium,11.9717,asean
5275,brunei darussalam,1994,Medium,12.3209,asean
5276,brunei darussalam,1993,Medium,12.5739,asean
5277,brunei darussalam,1992,Medium,12.7204,asean
5278,brunei darussalam,1991,Medium,12.7643,asean
5279,brunei darussalam,1990,Medium,12.7795,asean
5280,brunei darussalam,1989,Medium,12.8357,asean
5281,brunei darussalam,1988,Medium,12.9815,asean
5282,brunei darussalam,1987,Medium,13.245,asean
5283,brunei darussalam,1986,Medium,13.6454,asean
5284,brunei darussalam,1985,Medium,14.212,asean
5285,brunei darussalam,1984,Medium,14.9225,asean
5286,brunei darussalam,1983,Medium,15.8061,asean
5287,brunei darussalam,1982,Medium,16.8815,asean
5288,brunei darussalam,1981,Medium,18.1879,asean
5289,brunei darussalam,1980,Medium,19.7205,asean
5290,brunei darussalam,1979,Medium,21.5428,asean
5291,brunei darussalam,1978,Medium,23.6476,asean
5292,brunei darussalam,1977,Medium,26.0399,asean
5293,brunei darussalam,1976,Medium,28.7931,asean
5294,brunei darussalam,1975,Medium,31.8915,asean
5295,brunei darussalam,1974,Medium,35.4049,asean
5296,brunei darussalam,1973,Medium,39.1905,asean
5297,brunei darussalam,1972,Medium,43.1283,asean
5298,brunei darussalam,1971,Medium,47.0274,asean
5299,brunei darussalam,1970,Medium,50.6473,asean
5300,brunei darussalam,1969,Medium,53.8724,asean
5301,brunei darussalam,1968,Medium,56.8336,asean
5302,brunei darussalam,1967,Medium,59.8431,asean
5303,brunei darussalam,1966,Medium,63.3878,asean
5304,brunei darussalam,1965,Medium,68.4248,asean
5305,brunei darussalam,1964,Medium,74.0125,asean
5306,brunei darussalam,1963,Medium,81.7691,asean
5307,brunei darussalam,1962,Medium,91.1963,asean
5308,brunei darussalam,1961,Medium,102.199,asean
5309,brunei darussalam,1960,Medium,113.8682,asean
5310,brunei darussalam,1959,Medium,124.9366,asean
5311,brunei darussalam,1958,Medium,134.567,asean
5312,brunei darussalam,1957,Medium,142.0863,asean
5313,brunei darussalam,1956,Medium,147.4386,asean
5314,brunei darussalam,1955,Medium,151.925,asean
5315,brunei darussalam,1954,Medium,157.2236,asean
5316,brunei darussalam,1953,Medium,164.3266,asean
5317,brunei darussalam,1952,Medium,173.6541,asean
5318,brunei darussalam,1951,Medium,185.738,asean
5319,brunei darussalam,1950,Medium,200.0727,asean
6159,cambodia,2022,Medium,24.4891,asean
6160,cambodia,2021,Medium,24.7492,asean
6161,cambodia,2020,Medium,25.6746,asean
6162,cambodia,2019,Medium,26.6701,asean
6163,cambodia,2018,Medium,27.7652,asean
6164,cambodia,2017,Medium,28.9746,asean
6165,cambodia,2016,Medium,30.3243,asean
6166,cambodia,2015,Medium,31.757,asean
6167,cambodia,2014,Medium,33.4959,asean
6168,cambodia,2013,Medium,35.6292,asean
6169,cambodia,2012,Medium,37.7188,asean
6170,cambodia,2011,Medium,40.906,asean
6171,cambodia,2010,Medium,43.8809,asean
6172,cambodia,2009,Medium,47.4645,asean
6173,cambodia,2008,Medium,51.3334,asean
6174,cambodia,2007,Medium,55.5486,asean
6175,cambodia,2006,Medium,59.7562,asean
6176,cambodia,2005,Medium,64.725,asean
6177,cambodia,2004,Medium,70.7336,asean
6178,cambodia,2003,Medium,78.0075,asean
6179,cambodia,2002,Medium,86.8039,asean
6180,cambodia,2001,Medium,96.7427,asean
6181,cambodia,2000,Medium,106.8785,asean
6182,cambodia,1999,Medium,113.6689,asean
6183,cambodia,1998,Medium,118.0013,asean
6184,cambodia,1997,Medium,120.0528,asean
6185,cambodia,1996,Medium,120.8481,asean
6186,cambodia,1995,Medium,120.2623,asean
6187,cambodia,1994,Medium,119.9652,asean
6188,cambodia,1993,Medium,117.6121,asean
6189,cambodia,1992,Medium,116.7779,asean
6190,cambodia,1991,Medium,116.8026,asean
6191,cambodia,1990,Medium,116.4298,asean
6192,cambodia,1989,Medium,120.0024,asean
6193,cambodia,1988,Medium,124.0094,asean
6194,cambodia,1987,Medium,128.4201,asean
6195,cambodia,1986,Medium,132.6288,asean
6196,cambodia,1985,Medium,137.0259,asean
6197,cambodia,1984,Medium,142.1225,asean
6198,cambodia,1983,Medium,147.3679,asean
6199,cambodia,1982,Medium,152.7887,asean
6200,cambodia,1981,Medium,158.0258,asean
6201,cambodia,1980,Medium,162.8929,asean
6202,cambodia,1979,Medium,166.2605,asean
6203,cambodia,1978,Medium,199.7873,asean
6204,cambodia,1977,Medium,226.3656,asean
6205,cambodia,1976,Medium,373.837,asean
6206,cambodia,1975,Medium,504.0612,asean
6207,cambodia,1974,Medium,181.1315,asean
6208,cambodia,1973,Medium,177.7737,asean
6209,cambodia,1972,Medium,172.9481,asean
6210,cambodia,1971,Medium,177.4239,asean
6211,cambodia,1970,Medium,179.9938,asean
6212,cambodia,1969,Medium,182.7819,asean
6213,cambodia,1968,Medium,186.3391,asean
6214,cambodia,1967,Medium,189.9627,asean
6215,cambodia,1966,Medium,193.4856,asean
6216,cambodia,1965,Medium,197.2434,asean
6217,cambodia,1964,Medium,201.122,asean
6218,cambodia,1963,Medium,205.2843,asean
6219,cambodia,1962,Medium,209.7233,asean
6220,cambodia,1961,Medium,214.1534,asean
6221,cambodia,1960,Medium,218.2324,asean
6222,cambodia,1959,Medium,223.3704,asean
6223,cambodia,1958,Medium,228.4044,asean
6224,cambodia,1957,Medium,232.5069,asean
6225,cambodia,1956,Medium,236.9716,asean
6226,cambodia,1955,Medium,241.3645,asean
6227,cambodia,1954,Medium,244.2098,asean
6228,cambodia,1953,Medium,248.463,asean
