,Year(s),mortality
0,1950,187.89819999999997
1,1951,185.60444999999999
2,1952,179.9564
3,1953,174.64525
4,1954,168.81900000000002
5,1955,165.3348
6,1956,159.33710000000002
7,1957,152.84904999999998
8,1958,151.3867
9,1959,145.76155
10,1960,141.59195
11,1961,139.3442
12,1962,132.58615
13,1963,125.08905
14,1964,114.85804999999999
15,1965,107.6135
16,1966,103.9273
17,1967,101.05485
18,1968,96.61234999999999
19,1969,90.68435
20,1970,88.26145
21,1971,85.6286
22,1972,82.2524
23,1973,77.2055
24,1974,74.27250000000001
25,1975,72.5934
26,1976,71.73785000000001
27,1977,67.98265
28,1978,64.37795
29,1979,62.14945
30,1980,60.875550000000004
31,1981,58.421800000000005
32,1982,56.78375
33,1983,54.311949999999996
34,1984,51.3789
35,1985,49.9599
36,1986,48.895849999999996
37,1987,46.46385
38,1988,43.5698
39,1989,40.53005
40,1990,38.8857
41,1991,36.61165
42,1992,36.426500000000004
43,1993,35.36005
44,1994,33.10335
45,1995,32.63555
46,1996,30.5465
47,1997,31.79135
48,1998,30.43345
49,1999,29.8805
50,2000,28.6169
51,2001,27.72805
52,2002,26.437849999999997
53,2003,25.1464
54,2004,24.4022
55,2005,23.0655
56,2006,21.84065
57,2007,21.0701
58,2008,20.2943
59,2009,19.70115
60,2010,18.9018
61,2011,18.366
62,2012,17.67005
63,2013,17.092350000000003
64,2014,16.34545
65,2015,16.4663
66,2016,15.7704
67,2017,15.3733
68,2018,15.09825
69,2019,14.668199999999999
70,2020,14.41615
71,2021,14.2135
72,2022,13.91165
